# FieldID,R.A.,Dec.,R.A. [decimal],Dec. [decimal],Net Prob
E1S134,13:24:20.1,-31:36:47.6,201.0838627049378,-31.613209871750374,0.0018711105027581969
E1S135,13:28:59.1,-31:36:47.6,202.2462154200622,-31.613209871750374,0.0018176562292933549
E1S136,13:20:22.0,-26:38:40.4,200.09184889661304,-26.644543205083718,0.0018050015373605132
E1S137,13:19:58.6,-30:07:21.4,199.99419819177652,-30.122609871750377,0.0017909052457588327
E1S138,13:12:07.6,-22:10:21.9,198.0318031289433,-22.172743205083727,0.0017781199826111794
E1S139,13:01:59.3,-17:42:03.4,195.4970672126904,-17.700943205083735,0.0017367258069839948
E1S140,13:11:03.5,-21:40:33.2,197.7644068196147,-21.67587653841706,0.001708518324767448
E1S141,13:05:32.4,-19:11:29.6,196.3850298696339,-19.191543205083732,0.0016864259468103483
E1S142,12:50:02.2,-15:12:59.8,192.50932437541337,-15.216609871750403,0.0015828735065731559
E1S143,12:56:54.0,-15:42:48.5,194.22508553681052,-15.713476538417071,0.0015803663260508533
E1S144,13:26:50.6,-30:07:21.4,201.71082236644696,-30.122609871750377,0.001576086448468702
E1S145,13:28:38.9,-31:06:58.8,202.16208396876328,-31.11634320508371,0.0015310461703285534
E1S146,13:21:26.5,-27:08:29.1,200.36040242858354,-27.141409871750383,0.0015050700935770407
E1S147,13:03:34.9,-18:11:52.1,195.8954980976282,-18.1978098717504,0.0014776107205941237
E1S148,12:53:26.3,-14:43:11.1,193.359375,-14.719743205083736,0.0014671388014031552
E1S149,13:24:08.4,-28:37:55.2,201.0350029034181,-28.63200987175038,0.001429754884675413
E1S150,13:04:38.9,-18:41:40.8,196.1621883460657,-18.694676538417067,0.0014054787724346004
E1S151,13:22:31.0,-27:38:17.8,200.62908358756067,-27.63827653841705,0.0013275572965839014
E1S152,13:23:24.9,-28:08:06.5,200.85394955175457,-28.135143205083715,0.0012579160421711875
E1S153,13:14:26.1,-28:08:06.5,198.60894107324543,-28.135143205083715,0.0012300273299322199
E1S154,13:01:05.9,-17:12:14.7,195.2745116410805,-17.20407653841707,0.0010559366245469293
E1S155,13:20:29.5,-30:37:10.1,200.12311878840802,-30.619476538417043,0.0010146179671257404
